470096;470096 Полушка (ЛО г. Выборг Московский пр. д. 9);10273657
470097;470097 Лайм (ЛО г. Выборг Ленинградское ш. д. 65), №1;10274745
470098;470098 ТК (ЛО Выборгский р-н Ленинградское ш. д. 57);478498
470099;470099 Сокол (ЛО г. Выборг Гагарина ул. д. 16);10274713
470100;470100 Дикси (Садовая ул. д. 25);10271382
470101;470101 Семья (ЛО г. Выборг Мира ул. д. 1);478499
470102;470102 SPAR (пр. Ветеранов д. 109 к. 4 лит. А);10281382
470103;470103 Дикси (1-я линия В.О. д. 20);10271384
470104;470104 Дикси (Прибрежная ул. д. 20);10271385
470105;470105 Продукты Улица (ЛО г. Выборг Железнодорожная ул. д. 1);10273661
470106;470106 Продукты (ЛО г. Выборг Мира ул. д. 16);10274710
470107;470107 Дикси (Сытнинская пл. д. 4);10271389
470108;470108 Семья (ЛО г. Выборг Каменная ул. д. 5 лит. Б);10273664
470109;470109 Зажигалка (ЛО Выборгский р-н г. Выборг Московский пр. д. 14);10272943
470110;470110 Дикси (Канала Грибоедова наб. д. 97 лит. А);10271391
470111;470111 Полушка (ЛО Выборгский р-н г. Выборг Ленинградское ш. д. 31);10273660
470112;470112 Продукты (ЛО Выборгский р-н г. Выборг п. Кировские Дачи у д. 5);10273353
470113;470113 Народный Фермер (Загородный пр., д. 18/2);10273003
470114;470114 Семья (ЛО Выборгский р-н г. Выборг Вокзальная ул. д. 9);10273658
470115;470115 Продукты (ЛО Выборгский р-н г. Выборг Приморская ул. д. 6);10273294
470116;470116 Московский (ЛО Выборгский р-н г. Выборг Московский пр. д. 3);10274700
470117;470117 Лайм (ЛО Выборгский р-н г. Выборг Приморская ул. д. 3);478500
470118;470118 Народный Фермер (ул. Димитрова, д. 22);10272998
470119;470119 Полушка (ЛО п. Вырица Жертв Революции ул. д. 26);10274693
470120;470120 Полушка (ЛО п. Вырица Жертв Революции ул. д. 26), №2;10272952
470121;470121 Дикси (Морская наб. д. 17 корп. 3);10271393
470123;470123 Семья (ЛО Гатчинский р-н г. Гатчина Рощинская ул. д. 25);10273693
470124;470124 Квартет (ЛО Гатчинский р-н г. Гатчина Леонова ул. д. 5);10273355
470125;470125 ТЦ Въезд (ЛО г. Гатчина 25 Октября пр. д. 52 лит. Б);10273696
470127;470127 Семья (ЛО Гатчинский р-н г. Гатчина Слепнева ул. д. 9);10273698
470128;470128 Продукты (ЛО Гатчинский р-н г. Гатчина 25 Октября пр. д. 41);10273315
470129;470129 ТК (ЛО Гатчинский р-н г. Гатчина 25 Октября пр. д. 26А);10273695
470130;470130 Семья (ЛО Гатчинский р-н г. Гатчина 25 Октября ул. д. 63);10273697
470131;470131 Картеж (ЛО Гатчинский р-н г. Гатчина Рощинская ул. д. 18 Б);10273299
470132;470132 Картеж (ЛО Гатчинский р-н г. Гатчина Варшавского вокзала пл. стр. 1);10273354
470133;470133 В.Новгород Дикси (г. Боровичи Советская ул. д. 131);10272623
470134;470134 В.Новгород Дикси (г. Великий Новгород Прусская ул. д. 23);10272659
470135;470135 Анжелика (ЛО Выборгский р-н п. Глебычево ул. Мира у д. 3);10272989
470140;470140 ТК Кириши Плаза №1, Героев 33;10278202
470141;470141 Петрозаводск Дикси (г. Петрозаводск Октябрьский пр. д. 9);10271682
470142;470142 Продукты (ЛО Гатчинский р-н пгт Дружная Горка Введенского ул. д. 2А);10273936
470143;470143 Универсам XL (ЛО Всеволожский р-н СНТ Дружное-4 д. 3);10273974
470144;470144 Администрация СНТ Чайка (ЛО Всеволожский р-н п. Борисова Грива Садоводство Чайка);10272939
470145;470145 Меркурий (ЛО пгт Дубровка Невская ул. д. 5);10272946
470146;470146 Меркурий (ЛО пгт Дубровка Ленинградская ул. д. 8);10275102
470147;470147 Продукты (Светлановский пр. д. 73);10281291
470148;470148 АЗС АЭРО (ЛО д. Елизаветинка пересеч. с Средневыборгским шоссе);478501
470149;470149 Продукты (ЛО Гатчинский р-н п. Елизаветино Дружбы пл. д. 37);10273934
470150;470150 Продукты (ЛО Гатчинский р-н п. Елизаветино Дылецкое ш. д. 2 лит. А);10273570
470151;470151 Продукты (ЛО Выборгский р-н п. Ермилово);10273295
470152;470152 Лента (ЛО Гатчинский р-н г. Гатчина 25 Октября пр. д. 42 Д);10274748
470153;470153 Продукты (ЛО Приозерский р-н п. Запорожское Советская ул. д. 2/1);10273391
470158;470158 Продукты (ЛО Выборгский р-н п. Зеркальный);10273914
470159;470159 Аист (ЛО Волосовский р-н д. Извара д. 7);10272985
470160;470160 Пятерочка (ЛО пгт. им Морозова Первомайская ул. д. 9);10273563
470161;470161 Дикси (г. Петергоф Братьев Горкушенко ул. д. 5 корп. 1 лит. А);10281113
470162;470162 Дикси (Каменноостровский пр. д. 54/31 лит. А);10271394
470163;470163 ТК (ЛО Волховский р-н д. Иссад Лесная ул. д. 1 А);10273216
470164;470164 Продукты (ЛО Волосовский р-н п. Калитино);10273313
470166;470166 ТК Находка (ЛО Выборгский р-н п. Каменка д. б/н, лит. А);10273297
470167;470167 Шанс (ЛО г. Каменногорск Ленинградское ш. д. 84);10273672
470168;470168 Продукты (ЛО Выборгский р-н г. Каменногорск Ленинградское ш. д. 78б);10273670
470169;470169 Продукты (ЛО Гатчинский р-н п. Карташевская Красная ул. д. 16);10273935
470170;470170 Продукты (ЛО Ломоносовский р-н д. Келози строение 3);10272938
470171;470171 Дикси (г. Колпино Комсомольского канала наб. д. 9);10281112
470172;470172 ТК (ЛО Кингисеппский р-н г. Кингисепп Октябрьская ул. д. 4 лит. А);10274743
470173;470173 Виктория (ЛО Кингисеппский р-н г. Кингисепп 2-я линия д. 49);10273021
470174;470174 Виктория (ЛО Кингисеппский р-н г. Кингисепп Карла Маркса пр. д. 15);10273023
470175;470175 Дикси (г. Ломоносов Красного Флота ул. д. 23);10272660
470176;470176 Дикси (Планерная ул. д. 63 к. 1);10271395
470177;470177 Виктория (ЛО Кингисеппский р-н г. Кингисепп Б. Советская ул. д. 28);10273022
470178;470178 Дикси (Сестрорецкая ул. д. 1);10271397
470179;470179 Дикси (Ланское ш. д. 27);10271398
470180;470180 Дикси (ЛО Гатчинский р-н г. Гатчина Куприна ул. д. 48а);10271399
470181;470181 Дикси (Лыжный пер. д. 8);10271400
470183;470183 Виктория (ЛО Кингисеппский р-н г. Кингисепп Крикковское ш. д. 12);10273024
470184;470184 Семья (ЛО Кингисеппский р-н Большой бульв. д. 4);10273676
470185;470185 Дикси (Пестеля ул. д. 12/22);10271401
470186;470186 7 шагов (Ю. Гагарина пр. д. 24 к. 1);10274613
470187;470187 Дикси (Ланское ш. д. 47);10271402
470188;470188 Дикси (Юнтоловский пр. д. 49 к. 3);10271403
470189;470189 Полушка (ЛО г. Кириши Героев ул. д. 14);10273360
470190;470190 Азбука Вкуса (Выборгское ш., д. 13, лит. А);10273006
470191;470191 АЗС Фаэтон (ЛО г. Кировск Магистральная ул. д. 46);10272972
470192;470192 Семья (ЛО г. Кировск Молодежная ул. д. 18 лит. А);478502
470193;470193 Цветы (ЛО г. Кировск Краснофлотская ул. д. 3);478503
470203;470203 Теле2 (ЛО г. Сосновый Бор Солнечная ул. д. 12);10272931
